PLZ,d_cc,d_w,d_a,av
40210,7,9,11,8.6
40211,6,9,11,8.2
40212,6,9,11,8.2
40213,7,9,12,8.8
40215,9,10,13,10.2
40217,8,10,15,10.2
40219,6,8,10,7.6
40221,8,11,13,10.2
40223,9,12,14,11.2
40227,10,12,14,11.6
40229,16,18,20,17.6
40231,17,17,19,17.4
40233,13,12,14,12.8
40235,15,14,16,14.8
40237,11,9,11,10.2
40239,10,6,8,8
40468,11,5,7,7.8
40470,13,8,10,10.4
40472,29,24,22,25.6
40474,12,5,5,7.8
40476,8,3,6,5.6
40477,6,6,9,6.6
40479,5,7,9,6.6
40489,19,12,12,14.8
40545,6,8,12,8
40547,10,5,9,7.8
40549,12,10,13,11.4
40589,19,21,23,20.6
40591,17,19,21,18.6
40593,25,27,28,26.4
40595,23,25,25,24.2
40597,20,22,24,21.6
40599,21,23,22,22
40625,18,14,16,16
40627,23,18,20,20.4
40629,23,18,16,19.6
40225,13,16,17,15
